image size+1: 785
Enter no of threads:
0.308920 0.203556 0.408502 
old logloss: 0.000002 
start update

Enter iterations for each thread:
Delta Norm = 2.123277
Delta Norm = 0.100201
Delta Norm = 3.021221
Delta Norm = 3.310541
Delta Norm = 3.470333
Delta Norm = 2.593685
Delta Norm = 2.369950
Delta Norm = 3.312597
Delta Norm = 1.449890
Delta Norm = 0.959606
Delta Norm = 3.691934
Delta Norm = 2.097790
Delta Norm = 3.820567
Delta Norm = 3.287518
Delta Norm = 3.436819
Delta Norm = 3.805195
Delta Norm = 3.080289
Delta Norm = 2.972421
Delta Norm = 4.826960
Delta Norm = 3.723636
Delta Norm = 2.914784
Delta Norm = 3.424215
Delta Norm = 3.180463
Delta Norm = 4.084954
Delta Norm = 3.059001
Delta Norm = 1.617409
Delta Norm = 4.411253
Delta Norm = 2.786050
Delta Norm = 3.012446
Delta Norm = 3.254802
Delta Norm = 3.450398
Delta Norm = 2.359921
Delta Norm = 3.740586
Delta Norm = 3.369576
Delta Norm = 2.978782
Delta Norm = 2.181750
Delta Norm = 1.613551
Delta Norm = 3.007168
Delta Norm = 3.542626
Delta Norm = 4.248247
Delta Norm = 2.954604
Delta Norm = 3.077407
Delta Norm = 4.376797
Delta Norm = 3.797418
Delta Norm = 3.555007
Delta Norm = 1.033316
Delta Norm = 3.235172
Delta Norm = 2.707373
Delta Norm = 4.103635
Delta Norm = 2.723440
Delta Norm = 3.639316
Delta Norm = 3.223859
Delta Norm = 2.672367
Delta Norm = 3.488604
Delta Norm = 2.886522
Delta Norm = 3.285849
Delta Norm = 3.450858
Delta Norm = 3.507185
Delta Norm = 2.026598
Delta Norm = 3.636545
Delta Norm = 3.598820
Delta Norm = 3.705174
Delta Norm = 3.529094
Delta Norm = 2.404473
Delta Norm = 3.755870
Delta Norm = 2.369368
Delta Norm = 2.995338
Delta Norm = 3.877871
Delta Norm = 3.005555
Delta Norm = 2.450205
Delta Norm = 2.979046
Delta Norm = 3.027670
Delta Norm = 3.203836
Delta Norm = 3.569849
Delta Norm = 1.770065
Delta Norm = 3.348406
Delta Norm = 3.088030
Delta Norm = 3.098378
Delta Norm = 3.457737
Delta Norm = 1.755382
Delta Norm = 3.937185
Delta Norm = 4.528701
Delta Norm = 0.046847
Delta Norm = 4.529769
Delta Norm = 1.426758
Delta Norm = 3.469715
Delta Norm = 3.134450
Delta Norm = 3.641713
Delta Norm = 3.074600
Delta Norm = 3.230053
Delta Norm = 3.698228
Delta Norm = 3.801504
Delta Norm = 2.123209
Delta Norm = 3.699436
Delta Norm = 1.719331
Delta Norm = 0.544790
Delta Norm = 3.609493
Delta Norm = 3.930225
Delta Norm = 2.333757
Delta Norm = 4.292384
Delta Norm = 2.744570
Delta Norm = 4.398288
Delta Norm = 3.808851
Delta Norm = 3.190176
Delta Norm = 3.743920
Delta Norm = 3.742281
Delta Norm = 1.253137
Delta Norm = 3.809422
Delta Norm = 2.592174
Delta Norm = 2.661935
Delta Norm = 3.526600
Delta Norm = 3.411313
Delta Norm = 1.642317
Delta Norm = 3.165187
Delta Norm = 3.046676
Delta Norm = 2.912492
Delta Norm = 3.544428
Delta Norm = 3.837052
Delta Norm = 3.483487
Delta Norm = 3.382148
Delta Norm = 3.302693
Delta Norm = 3.102388
Delta Norm = 1.945575
Delta Norm = 3.626770
Delta Norm = 3.104463
Delta Norm = 2.974710
Delta Norm = 3.457023
Delta Norm = 2.867920
Delta Norm = 2.276373
Delta Norm = 3.723270
Delta Norm = 3.274512
Delta Norm = 3.592981
Delta Norm = 3.454982
Delta Norm = 3.575648
Delta Norm = 2.869832
Delta Norm = 3.221375
Delta Norm = 1.511222
Delta Norm = 3.462066
Delta Norm = 3.162342
Delta Norm = 3.142203
Delta Norm = 3.277580
Delta Norm = 1.825960
Delta Norm = 3.623553
Delta Norm = 4.468072
Delta Norm = 2.617122
Delta Norm = 3.315942
Delta Norm = 3.740842
Delta Norm = 2.720988
Delta Norm = 3.082498
Delta Norm = 3.365830
Delta Norm = 3.539800
Delta Norm = 3.093799
Delta Norm = 4.109519
Delta Norm = 3.223444
Delta Norm = 4.108068
Delta Norm = 3.625084
Delta Norm = 2.365803
Delta Norm = 2.154684
Delta Norm = 3.143986
Delta Norm = 2.364772
Delta Norm = 0.475304
Delta Norm = 3.385635
Delta Norm = 2.589246
Delta Norm = 4.478652
Delta Norm = 3.807592
Delta Norm = 2.990734
Delta Norm = 3.373869
Delta Norm = 3.475620
Delta Norm = 3.253672
Delta Norm = 3.632429
Delta Norm = 0.556933
Delta Norm = 1.789007
